"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2020,"Abilene Christian",54.6822742474916,310,22.8501975083561,48,25.2941176470588,81,43.1438127090301,324
2020,"Air Force",56.0120240480962,328,16.1843028776681,318,21.978021978022,14,25.6513026052104,67
2020,"Akron",40.7110091743119,8,18.6145717194241,214,28.3737024221453,181,32.5688073394495,194
2020,"Alabama",48.6984815618221,163,17.3637802396563,284,28.7769784172662,194,33.4056399132321,212
2020,"Alabama A&M",58.0601092896175,340,17.939309220106,256,31.9796954314721,285,31.1475409836066,172
2020,"Alabama St.",54.0506329113924,300,21.521597023181,89,32.034632034632,287,35.9493670886076,261
2020,"Albany",47.8260869565217,135,18.7690765796547,202,24.8175182481752,70,25.4347826086957,64
2020,"Alcorn St.",56.2925170068027,329,21.3129851335351,96,29.1428571428571,209,40.8163265306122,304
2020,"American",52.5252525252525,283,19.5446302639533,169,29.4372294372294,224,36.1111111111111,265
2020,"Appalachian St.",46.4376590330789,95,22.544533209235,58,25.1937984496124,76,26.972010178117,87
2020,"Arizona",45.1676528599606,62,23.6942530044996,32,26.3636363636364,122,35.1084812623274,251
2020,"Arizona St.",43.3333333333333,30,23.3799483129242,40,28.3687943262411,180,27.1428571428571,91
2020,"Arkansas",39.4186046511628,4,28.1317154702729,3,27.0833333333333,140,28.8372093023256,121
2020,"Arkansas Pine Bluff",52.4242424242424,282,19.4339851815863,176,32.1951219512195,292,44.2424242424242,331
2020,"Arkansas St.",52.7851458885942,286,21.1553273427471,99,25.4464285714286,84,36.8700265251989,270
2020,"Army",50.7874015748031,228,19.3258682430512,179,29.2792792792793,217,22.0472440944882,29
2020,"Auburn",46.4,93,20.0767640980218,151,25.3164556962025,82,21.8,23
2020,"Austin Peay",53.3923303834808,292,21.3020584011489,97,34.3589743589744,324,34.5132743362832,233
2020,"BYU",51.3084112149533,251,17.7904975538066,268,25.8064516129032,96,28.9719626168224,124
2020,"Ball St.",46.4194373401535,94,18.5784364888843,215,22.4489795918367,18,30.1790281329923,149
2020,"Baylor",46.8030690537084,106,24.5081904954807,21,26.8085106382979,132,26.8542199488491,85
2020,"Belmont",47.6063829787234,124,18.6578393018357,208,25.6338028169014,90,24.822695035461,60
2020,"Bethune Cookman",51.0574018126888,241,21.5899090642417,87,29.3532338308458,220,40.785498489426,303
2020,"Binghamton",54.1497975708502,301,12.9458566516081,351,29.6428571428571,230,30.5668016194332,154
2020,"Boise St.",52.7472527472527,285,18.1334825801035,246,26.0204081632653,112,28.021978021978,111
2020,"Boston College",48.1549815498155,150,23.3877901977644,39,30.8383233532934,261,23.4317343173432,43
2020,"Boston University",51.0752688172043,242,18.6578255401852,209,28.9473684210526,202,27.5268817204301,102
2020,"Bowling Green",49.5714285714286,188,18.4402612370342,223,22.9437229437229,27,46.2857142857143,337
2020,"Bradley",46.6666666666667,102,21.3342975953715,93,28.4722222222222,183,32.6666666666667,195
2020,"Brown",47.8678038379531,137,20.0215143465566,154,28.0821917808219,173,33.6886993603412,218
2020,"Bryant",44.8514851485149,55,18.7166344088308,205,30.5637982195846,253,30.0990099009901,145
2020,"Bucknell",54.2833607907743,304,16.1408146937072,320,30.2395209580838,244,34.9258649093904,247
2020,"Buffalo",49.4239631336406,183,21.3600491470157,92,32.319391634981,294,34.5622119815668,235
2020,"Butler",45.7420924574209,75,21.9486875278066,79,23.828125,53,25.7907542579075,70
2020,"Cal Baptist",50.3448275862069,216,15.7650621229963,330,24.7104247104247,68,32.4137931034483,189
2020,"Cal Poly",58.3333333333333,343,18.3033784986145,238,25.7575757575758,94,49.1803278688525,347
2020,"Cal St. Bakersfield",53.7837837837838,295,18.1133611478579,247,24.1228070175439,60,48.1081081081081,344
2020,"Cal St. Fullerton",50.4608294930876,219,20.1018799826393,149,22.6053639846743,22,32.258064516129,186
2020,"Cal St. Northridge",57.1556350626118,337,16.5396837551208,310,31.9218241042345,283,30.9481216457961,167
2020,"California",46.4788732394366,97,14.8986195497823,344,29.7385620915033,233,23.3400402414487,41
2020,"Campbell",47.7211796246649,128,23.6012628745924,34,33.6206896551724,317,42.8954423592493,321
2020,"Canisius",48.6301369863014,160,23.9189218897707,25,32.129963898917,289,40.1826484018265,295
2020,"Central Arkansas",54.5824847250509,308,18.2787509520183,240,34.7826086956522,330,31.9755600814664,182
2020,"Central Connecticut",55.4545454545455,315,17.6774719498852,272,30.3571428571429,246,30.5050505050505,152
2020,"Central Michigan",52.089552238806,272,20.4795204795205,132,27.1794871794872,144,21.7910447761194,22
2020,"Charleston",46.5783664459161,99,18.3575551074334,232,31.9587628865979,284,36.8653421633554,269
2020,"Charleston Southern",54.4047619047619,306,22.4577021319643,62,38.1974248927039,350,26.4285714285714,75
2020,"Charlotte",50.7299270072993,226,19.5155950514027,171,23.1660231660232,31,26.2773722627737,74
2020,"Chattanooga",50.5940594059406,220,21.0956242441065,100,29.1803278688525,210,33.8613861386139,222
2020,"Chicago St.",56.8129330254042,334,17.1673819742489,292,35.8333333333333,341,39.4919168591224,289
2020,"Cincinnati",44.3227091633466,47,19.2943426824958,184,26.2345679012346,117,28.0876494023904,113
2020,"Clemson",46.9387755102041,109,23.0321155176646,43,25.5555555555556,86,27.437641723356,98
2020,"Cleveland St.",48.2832618025751,153,20.2417767781839,142,32.6797385620915,301,43.3476394849785,325
2020,"Coastal Carolina",49.7549019607843,197,18.5605487466586,217,28.030303030303,171,36.2745098039216,266
2020,"Colgate",52.2312373225152,276,16.740167401674,303,27.5,152,21.7038539553753,21
