"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2020","Delaware St.",75.6417,23,74.3554,26,91.229,287,86.1304,347,118.313,344,112.286,349,-26.1552,351
"2020","Denver",70.5062,159,69.523,183,86.831,319,91.4043,319,101.535,221,104.406,283,-13.0016,313
"2020","DePaul",71.2068,123,69.9196,159,105.308,82,105.012,72,89.1963,55,91.4861,43,13.5263,50
"2020","Detroit",74.0107,42,74.0231,31,89.706,301,98.5043,198,113.073,330,109.258,341,-10.7535,293
"2020","Drake",68.1813,261,67.4868,265,97.8708,198,96.8467,230,87.9931,38,94.6735,78,2.17318,136
"2020","Drexel",71.7957,105,70.7055,125,98.1335,195,97.8945,209,102.328,230,104.329,280,-6.43416,250
"2020","Duke",75.8569,20,73.4183,38,109.901,38,111.005,14,85.5463,24,85.4048,3,25.5998,3
"2020","Duquesne",67.1179,298,67.9979,246,107.464,57,102.411,116,85.5203,23,93.2162,60,9.1945,84
"2020","East Carolina",70.8167,144,69.9568,155,100.395,153,97.6746,213,106.498,286,105.712,306,-8.03725,272
"2020","East Tennessee St.",69.9609,181,68.537,223,111.156,33,108.096,36,97.8828,155,97.8441,126,10.2522,76
"2020","Eastern Illinois",70.5271,156,69.8913,160,97.2221,211,96.7364,231,92.2037,78,102.763,243,-6.02661,241
"2020","Eastern Kentucky",80.5417,3,78.8469,2,80.0762,343,90.7396,324,97.2518,146,102.734,241,-11.994,306
"2020","Eastern Michigan",68.415,246,69.5129,185,92.8492,268,95.1303,265,88.5456,49,96.5985,109,-1.46826,175
"2020","Eastern Washington",77.2063,9,76.0483,13,99.0583,176,101.316,142,100.549,199,101.446,205,-0.130099,163
"2020","Elon",68.1337,263,67.6366,260,87.6788,314,91.7663,315,102.563,232,105.965,313,-14.1992,321
"2020","Evansville",71.7031,109,71.8487,82,101.702,131,98.9871,191,103.031,241,101.13,190,-2.1434,193
"2020","Fairfield",63.8993,346,62.2233,350,93.2966,261,93.8039,291,101.238,212,101.062,189,-7.25799,263
"2020","Fairleigh Dickinson",67.6458,281,67.6779,255,96.7126,216,98.4761,199,111.259,323,105.857,312,-7.38057,266
"2020","FIU",75.8857,19,74.8764,22,102.493,118,98.6942,195,91.2438,69,98.4043,133,0.289953,157
"2020","Florida",67.3094,289,64.9266,325,100.37,154,106.261,54,92.1776,77,89.4134,23,16.848,31
