"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2020,"Mississippi Valley St.",38.7423935091278,350,19.9136487796282,199,23.3918128654971,287,16.4300202839757,350
2020,"Missouri",48.1735159817352,203,21.4585387101951,274,28.5185185185185,160,33.7899543378995,135
2020,"Missouri St.",47.9166666666667,215,22.2660712431197,300,36.8078175895765,15,31.547619047619,182
2020,"Monmouth",46.8565815324165,244,20.081035675462,207,22.8395061728395,303,28.2907662082515,243
2020,"Montana",46.8023255813954,245,21.8720602069614,292,22.488038277512,308,21.8023255813953,326
2020,"Montana St.",51.4084507042254,106,22.7985180963237,309,19.7183098591549,341,36.3380281690141,93
2020,"Morehead St.",48.125,204,18.220011055832,90,28.4280936454849,164,28.5416666666667,240
2020,"Morgan St.",42.2246220302376,330,22.0513814415229,297,31.3915857605178,91,40.8207343412527,32
2020,"Mount St. Mary's",44.1613588110403,309,19.3932677656185,168,28.6644951140065,156,23.7791932059448,313
2020,"Murray St.",48.1132075471698,206,20.4257092983873,224,27.2300469483568,200,42.0485175202156,20
2020,"N.C. State",52.34375,77,15.036951599812,9,29.1525423728814,147,31.0546875,193
2020,"NJIT",46.2203023758099,258,16.3048456535678,34,25.7731958762887,229,31.1015118790497,191
2020,"Navy",44.489247311828,304,22.2375057313159,299,38.4313725490196,7,34.6774193548387,114
2020,"Nebraska",49.7938144329897,145,16.6203846549419,42,20.1238390092879,336,37.7319587628866,76
2020,"Nebraska Omaha",51.6917293233083,96,18.7763545230329,130,27.7777777777778,185,25.9398496240602,290
2020,"Nevada",53.7477148080439,47,16.7569852799877,50,25.705329153605,231,29.0676416819013,229
2020,"New Hampshire",50.561797752809,130,20.2579132473623,215,29.7202797202797,136,28.0898876404494,248
2020,"New Mexico",52.2772277227723,80,20.0897136065637,208,30.2631578947368,122,45.1485148514851,7
2020,"New Mexico St.",48.4444444444444,192,21.9785380515181,294,35.2517985611511,35,29.3333333333333,220
2020,"New Orleans",41.9732441471572,334,17.9210174513134,84,23.6842105263158,282,21.7391304347826,328
2020,"Niagara",46.0294117647059,270,20.1029077420127,210,20,337,21.7647058823529,327
2020,"Nicholls St.",46.0916442048518,265,21.5988859521983,277,29.2576419213974,144,24.2587601078167,310
2020,"Norfolk St.",45.4268292682927,288,25.0861560433419,341,31.4814814814815,89,28.9634146341463,231
2020,"North Alabama",45.9367945823928,273,22.347843301146,301,27.2727272727273,199,37.4717832957111,80
2020,"North Carolina",45.01953125,297,18.4813878476157,107,38.5321100917431,6,33.203125,153
2020,"North Carolina A&T",42.8118393234672,322,24.4330884701373,336,25.3012048192771,243,38.2663847780127,69
2020,"North Carolina Central",44.2080378250591,308,25.6272401433692,345,26.6423357664234,209,31.2056737588652,189
2020,"North Dakota",47.8205128205128,221,23.0093854072056,316,27.7310924369748,188,30.5128205128205,203
2020,"North Dakota St.",46.0585585585586,268,15.2152723296008,11,23.2081911262799,293,31.7567567567568,176
2020,"North Florida",50.8196721311475,121,20.969412560509,249,28.2828282828283,169,27.6639344262295,259
2020,"North Texas",48.711943793911,181,23.4604105571847,324,33.852140077821,50,24.824355971897,302
2020,"Northeastern",60.3594080338266,3,21.7495071080212,287,25,254,26.215644820296,279
2020,"Northern Arizona",44.8170731707317,298,19.3164933135215,161,28.0701754385965,174,43.2926829268293,14
2020,"Northern Colorado",49.4169096209913,157,19.3051387556848,160,28.110599078341,173,27.9883381924198,250
2020,"Northern Illinois",47.2103004291845,234,20.8839019922143,244,31.3531353135314,93,27.6824034334764,258
2020,"Northern Iowa",52.5706940874036,72,18.8169887472269,132,26.2931034482759,217,27.7634961439589,254
2020,"Northern Kentucky",50.7281553398058,124,20.4793134553965,228,24.8091603053435,262,30.0970873786408,207
2020,"Northwestern",48.5526315789474,187,18.8744267423058,134,27.1111111111111,201,36.0526315789474,99
2020,"Northwestern St.",42.483660130719,328,19.4769059543684,172,25.8536585365854,226,24.5098039215686,308
2020,"Notre Dame",46.7647058823529,246,13.3044486750257,3,26.625386996904,210,29.2156862745098,225
2020,"Oakland",46.2779156327543,256,21.5529683440777,276,28.4671532846715,161,41.1910669975186,26
2020,"Ohio",52.7415143603133,70,21.4787277984304,275,26.2222222222222,220,30.8093994778068,196
2020,"Ohio St.",56.3758389261745,19,18.4882580886129,108,35.3846153846154,33,37.3601789709172,82
2020,"Oklahoma",50.3092783505155,137,14.2989426534875,5,22.4561403508772,310,33.4020618556701,149
2020,"Oklahoma St.",49.5841995841996,150,18.2920252809595,94,28.4246575342466,165,32.6403326403326,164
2020,"Old Dominion",43.418647166362,318,18.4932057570154,111,30.0275482093664,126,25.2285191956124,299
2020,"Oral Roberts",42.487684729064,327,17.2169554320584,64,30.4511278195489,116,28.8177339901478,235
2020,"Oregon",52.8571428571429,69,16.2877502544961,33,34.9480968858132,40,32.2448979591837,168
2020,"Oregon St.",56.0085836909871,22,15.4156397042348,14,28.030303030303,176,36.480686695279,90
2020,"Pacific",51.5274949083503,103,19.770726034225,189,33.9416058394161,48,34.4195519348269,119
2020,"Penn",53.6804308797127,48,18.2956547819893,95,23.9130434782609,278,24.4165170556553,309
2020,"Penn St.",51.6569200779727,97,18.470321551507,104,35.048231511254,37,33.5282651072125,148
2020,"Pepperdine",51.5799256505576,100,18.6099723519878,116,27.7602523659306,186,32.7137546468402,163
2020,"Pittsburgh",46.0285132382892,271,20.3947228654586,221,35.423197492163,31,40.5295315682281,34
2020,"Portland",54.0650406504065,39,19.8293631121664,193,23.2558139534884,292,36.3143631436314,94
2020,"Portland St.",46.3203463203463,255,15.7907722674562,20,37.8947368421053,10,34.1991341991342,125
2020,"Prairie View A&M",44.5121951219512,303,22.5607404550713,307,27.7153558052434,189,33.6585365853659,140
2020,"Presbyterian",45.343137254902,290,20.6966447965008,235,26.4925373134328,213,17.8921568627451,349
2020,"Princeton",50.7317073170732,123,17.4732243888319,68,27.9835390946502,179,26.3414634146341,275
2020,"Providence",49.2895204262877,163,18.7306501547988,125,33.2409972299169,57,33.214920071048,152
2020,"Purdue",50.5364806866953,132,18.6555621653778,120,38.7096774193548,5,29.8283261802575,211
2020,"Purdue Fort Wayne",54.39453125,35,21.7087673091504,286,27.4576271186441,197,25.5859375,297
2020,"Quinnipiac",51.2362637362637,108,17.3928582065104,67,27.906976744186,181,23.3516483516484,315
