Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM
2017,"North Dakota St.",68.7881,215,66.7121,253,105.605,128,104.622,166,104.095,186,104.431,169,0.190559,167
2017,"North Florida",72.2742,52,69.8807,86,101.53,211,101.828,221,110.349,321,109.466,268,-7.63825,255
2017,"North Texas",71.0545,92,70.1523,73,95.8085,320,96.2628,315,106.323,232,110.781,294,-14.5179,320
2017,Northeastern,67.2253,279,66.0937,274,105.803,123,107.027,125,105.896,223,106.395,208,0.6316,159
2017,"Northern Arizona",70.8371,103,69.235,106,96.4953,311,95.0866,326,107.575,261,110.368,289,-15.2811,323
2017,"Northern Colorado",70.3063,127,68.4586,160,98.2691,280,96.6161,309,105.634,219,106.945,216,-10.3285,283
2017,"Northern Illinois",69.1186,199,66.7936,247,99.2182,257,98.9264,273,101.093,114,102.392,120,-3.46576,205
2017,"Northern Iowa",64.6261,337,63.4922,332,93.6522,332,97.6451,295,100.003,77,97.6363,57,0.00878873,169
2017,"Northern Kentucky",70.2299,132,68.0129,189,106.509,107,106.775,130,102.679,151,104.864,178,1.91159,138
2017,Northwestern,66.5104,298,65.5737,292,106.829,99,111.311,59,98.7535,56,95.4961,32,15.8146,38
2017,"Northwestern St.",72.7809,41,71.3335,39,100.874,228,101.071,237,108.98,289,112.47,312,-11.3987,293
2017,"Notre Dame",67.6563,265,67.0223,236,113.717,17,118.093,18,102.069,137,98.3505,61,19.7422,27
2017,Oakland,74.2546,16,71.9077,28,105.829,122,104.959,158,96.3115,30,99.0614,68,5.89731,103
2017,Ohio,72.1946,54,70.3869,65,106.524,106,105.608,148,97.6647,43,99.8807,78,5.72755,105
2017,"Ohio St.",68.6564,224,67.9876,192,105.555,132,111.175,60,101.249,118,100.973,99,10.2023,73
2017,Oklahoma,71.1058,89,69.9955,81,100.323,238,107.426,118,102.653,150,95.9414,39,11.4851,65
2017,"Oklahoma St.",72.3445,51,70.3798,66,117.672,5,125.992,1,108.601,282,103.511,155,22.4804,22
2017,"Old Dominion",63.7357,344,61.0765,348,100.519,234,100.653,247,95.0578,17,97.2096,52,3.4435,120
2017,"Oral Roberts",71.2512,84,69.086,111,102.695,180,104.423,169,112.167,331,110.721,293,-6.29877,236
2017,Oregon,68.6751,223,67.0285,234,113.785,16,118.223,17,96.2918,29,93.1994,17,25.024,10
2017,"Oregon St.",67.0323,285,64.5636,312,92.6391,339,97.0495,301,108.596,281,105.773,194,-8.72313,264
2017,Pacific,67.809,261,66.4881,259,96.8203,303,99.5499,267,106.587,238,106.528,210,-6.9782,246
2017,Penn,67.3393,275,66.6682,255,101.699,205,102.63,206,100.809,105,102.828,133,-0.198252,171
2017,"Penn St.",71.431,78,70.4169,63,98.3464,278,104.503,168,100.041,78,97.2052,51,7.29731,87
2017,Pepperdine,69.5437,174,68.52,154,98.6252,271,101.989,217,115.523,345,114.248,327,-12.2589,303
2017,Pittsburgh,67.2263,278,65.4032,298,106.469,108,112.384,49,109.747,307,103.659,158,8.72499,79
2017,Portland,66.841,290,65.8229,283,95.8831,318,98.6724,280,108.631,283,108.915,254,-10.243,280
2017,"Portland St.",74.2481,17,72.6037,19,106.947,97,104.307,174,107.542,259,110.806,295,-6.49985,239
2017,"Prairie View A&M",68.3672,238,67.5886,210,99.0349,264,98.0049,289,107.306,252,111.647,304,-13.6422,313
2017,Presbyterian,65.2815,324,64.1403,322,89.215,347,88.9068,349,116.446,347,118.11,346,-29.203,350
